Bluesky Handle,Post,Timestamp
berkshirehathaway.bsky.social,on sale.,2023-09-23T12:47:35.898Z
costcowholesale.bsky.social,"People who survive their appointed deaths are the same. They are soulless things that breathe, eat, and shit, but are no longer alive. Their existences become a series of events that they observe as outsiders. They are no longer part of the world.",2023-12-26T01:44:36.055Z
costcowholesale.bsky.social,"I am speaking, of course, about the soul. I believe the soul is a real thing. The body is nothing more than a vessel for the soul. When the allotted time for the vessel expires, the soul departed and leaves behind an empty shell.",2023-12-26T01:43:35.095Z
costcowholesale.bsky.social,They fell outside of God's cruel design and continued to exist in a world where they were no longer needed.,2023-12-26T01:43:03.396Z
costcowholesale.bsky.social,"The moment when a person survived their appointed death, life ended despite their continued existence. Instead of dying from an illness, or by murder, or by accident, or by suicide, their heart continued to beat but their life was over.",2023-12-26T01:42:23.779Z
costcowholesale.bsky.social,"Are you sometimes curious to know if people are meant to die at a certain time? I'm not talking about the idea of predestination, but the idea that we all have an appointed death, a time when our lives are supposed to end.",2023-12-26T01:41:11.234Z
cigna.bsky.social,"“Tell them to oh in dj nice, freakin”",2025-01-31T00:49:40.858Z
cigna.bsky.social,The people of Long Island.,2025-01-31T00:16:37.144Z
cigna.bsky.social,The entire tech industry right now,2025-01-25T16:30:17.954Z
cigna.bsky.social,I make content for the bots.,2025-01-17T16:49:21.170Z
cigna.bsky.social,I’m good as hell rn.,2025-01-05T16:35:58.545Z
fordmotor.bsky.social,You should try the cheeseburgers,2024-09-04T18:58:08.724Z
fordmotor.bsky.social,"Including ""Spankings"" really ruined it for me...",2024-09-03T01:28:47.828Z
fordmotor.bsky.social,,2024-09-03T01:25:11.260Z
fordmotor.bsky.social,,2024-09-02T07:20:07.607Z
fordmotor.bsky.social,Hello Bluesky!,2024-09-02T04:32:34.202Z
bankofamerica.bsky.social,"It’s presented in point-counterpoint fashion alongside a plea for greater trans inclusivity, but framing trans rights as a “debate” is inherently dangerous and has had demonstrably harmful social outcomes when platformed as such in other media outlets.",2025-02-25T18:12:23.996Z
bankofamerica.bsky.social,"This morning, Seattle’s paper of record published an op-ed claiming that trans kids’ participation in WA girls sports “gives boys access to girls teams and locker rooms” and tells “all of our young female athletes that boys are more important than they are.”",2025-02-25T18:07:10.513Z
bankofamerica.bsky.social,"A few days late to this but CFPB now has a tip line (on X, of course) for people to complain if agency employees are still doing their jobs. HuffPost confirmed it was legit.",2025-02-17T21:40:38.250Z
